isin,position_holder,issuer_name,net_short_position,position_date,source
NL0010801007,Capital Fund Management S.A.,IMCD N.V.,0.8,2026-05-11,current
NL0015002MS2,Capital Fund Management S.A.,The Magnum Ice Cream Company N.V.,0.49,2026-05-11,current
NL0000852523,Capital Fund Management S.A.,TKH Group N.V.,0.52,2026-05-11,current
NL0011821392,Citadel Advisors Europe Limited,Signify N.V.,1.02,2026-05-11,current
CH1216478797,Citadel Advisors LLC,DSM-Firmenich AG,0.5,2026-05-11,current
NL0010801007,Citadel Advisors LLC,IMCD N.V.,0.79,2026-05-11,current
NL0000289213,Citadel Advisors LLC,Wereldhave N.V.,0.7,2026-05-11,current
NL0010391025,Citadel Securities (Europe) Limited,Pharming Group N.V.,0.59,2026-05-11,current
NL0015002MS2,GLG Partners LP,The Magnum Ice Cream Company N.V.,0.6,2026-05-11,current
NL0010391025,HRTC Limited,Pharming Group N.V.,0.49,2026-05-11,current
NL0013267909,Millennium International Management LP,Akzo Nobel N.V.,0.49,2026-05-11,current
NL0010391025,Qube Research & Technologies Ltd.,Pharming Group N.V.,0.55,2026-05-11,current
NL0006237562,Squarepoint Ops LLC,ARCADIS N.V.,0.58,2026-05-11,current
NL0010391025,"Two Sigma Investments, LP",Pharming Group N.V.,0.86,2026-05-11,current
CY0200751713,"Two Sigma Investments, LP",Theon International Plc,0.8,2026-05-11,current
NL0012817175,Voleon Capital Management LP,Alfen N.V.,0.65,2026-05-11,current
NL0010391025,Walleye Capital LLC,Pharming Group N.V.,0.63,2026-05-11,current
NL00150003E1,"Algert Global, LLC",Fugro N.V.,0.5,2026-05-08,current
NL0012969182,Capital Fund Management S.A.,Adyen N.V.,0.59,2026-05-08,current
NL0000379121,Citadel Advisors LLC,Randstad N.V.,0.57,2026-05-08,current
NL0011821392,Citadel Advisors LLC,Signify N.V.,1.5,2026-05-08,current
NL0013267909,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.72,2026-05-08,current
NL0010391025,HRTC Limited,Pharming Group N.V.,0.56,2026-05-08,current
NL0010391025,Qube Research & Technologies Ltd.,Pharming Group N.V.,0.61,2026-05-08,current
NL0010391025,"Two Sigma Investments, LP",Pharming Group N.V.,0.75,2026-05-08,current
NL0012817175,Voleon Capital Management LP,Alfen N.V.,0.76,2026-05-08,current
NL0010391025,Walleye Capital LLC,Pharming Group N.V.,0.53,2026-05-08,current
NL0010801007,Acadian Asset Management LLC.,IMCD N.V.,0.58,2026-05-07,current
NL0000379121,Citadel Advisors Europe Limited,Randstad N.V.,0.5,2026-05-07,current
